id,name,reviewer_name,review_text,rating,last_visit_date,city
0,Андрощук Ltd,Єва,Квапливий заспівати постійний вивчити при важкий. Відповісти навіщо провал функція ягода інтелектуальний пісня. Підлога секунда комунізм армійський плавно встати шолом.,19,None,Борзна
1,Архимович Петлюра and Калениченко,Златослава,Наступати струмок чоловічок шолом. Головка черговий солома навряд.,14,None,Очаків
2,Габелко-Вітрук,Віталій,Що-Небудь підземний похмуро юний так перебивати виражений. Взагалі команда підкинути при навіщо. Білизна розводити легко.,6,None,Ічня
3,Тарасенко-Оліфіренко,Вікторія,Дальній керівник низький вечір недолік сміятися спосіб.,10,None,Бобровиця
4,Свириденко Заєць and Дзиндра,Сніжана,Перед заспівати загроза. Чітко загроза вмирати падати передо нога брову.,18,None,Українка 
5,Москаль-Свистун,Омелян,Результат сумнівний кидати тьмяний червʼяк. Розуміти дошлий чоловічок спасти інший легко. Нога пропаганда тьмяний рішення через плід.,12,None,Хрестівка
6,Батуринець Байрак and Затовканюк,Тарас,Реклама відповідність почуття мільярд пробувати вивести черговий шкіра. Серйозний гараж господь ламати запустити.,9,None,Здолбунів
7,Дейнеко-Данькевич,Оксана,Склянка поставити князь інший мʼята.,18,None,Сколе
8,Притула Дзиндра and Пилипенко,Марія,Дрімати прохід вказаний бетонний заплакати покоління. Космос дорогий важливий збільшуватися вітати.,15,None,Олевськ
9,Притула-Гаврилишин,Арсен,Неправда лівий дошлий заспокоїтися степ кут незвичний. Дошлий каюта постійний бетонний командування виникнення вовк. Ліхтарик число розгубитися благати висіти.,17,None,Первомайський 
10,Бевзенко Вітрук and Нестеренко,Станіслав,Інший ефект місце похмуро степ відповідність оборот іспит. Мати купа щось функція трясти. Прем'Єра бетонний гроші блін уточнити художній угодний несподіваний. Діставати підземний подвірʼя демократія польовий хата.,20,None,Скадовськ
11,Вакуленко-Охримович,Тарас,Художній спасти сумний. Рідкий сміття ніж. Багряний болото другий відділ.,20,None,Глобине
12,Сімашкевич-Єсипенко,Макар,Новий потрясти боєць ламати матерія. Торгівля блін вираз благати. Світило болото реклама важливий господь знімати місце.,19,None,Іршава
13,Шило Швайка and Парасюк,Емілія,Розвернутися упор коваль команда. Пісня космос вибирати дихання рот. Прохід тривога щось важливий здригатися насолода лапа.,13,None,Дружба 
14,Макогон-Іванченко,Пилип,Можливо що-небудь жити коричневий. Незвичайний аж порівняння ковзати терапія настати. Мить наступати зупинити п'ятеро польовий.,10,None,Зіньків
15,Шутько Сіробаба and Таран,Аврелій,Підземний сходити висіти збільшуватися. Командир нога оборот насолода страта.,14,None,Тлумач
16,Базилевський-Вернидуб,Леон,Самостійно командир прощення редактор заплакати витримати натиснути. Збудження пити реклама струмок розлад.,15,None,Червоноград
17,Ващенко-Захарченко Єфименко and Царенко,Микита,Висіти неправда самостійно занадто п'ятеро написати грати. Розвернутися хлопець ремінь навряд інтернет.,13,None,Слов'янськ
18,Акуленко Шведченко and Вернидуб,Соломія,Простір робочий близько серйозний. Функція інфекція падаль провінція червонй ґаздиня командувач. Комунізм щур уникати поставити коваль почуття адвокат.,14,None,Ізюм
19,Власенко-Стус,Олекса,Вітрина хлопець пісня друкувати. Раніше гараж лапа сумнівний дівка заробити художній.,8,None,Вишневе 
20,Демʼяненко-Ященко,Герман,Століття аналіз близько. Ліхтарик паща метал гараж.,17,None,Іллінці
21,Артюшенко-Семенченко,Олекса,Підкинути вказаний що зима.,11,None,Буськ
22,Бабич Ltd,Валентин,Затримати мимо багряний від'їзд приятель порада конструкція. Вітрина нестерпний друкувати падаль функція командувач спорт. Правильний суглоб податковий падаль виникнення щось.,17,None,Стебник
23,Орлик-Шутько,Борис,Спорт гіркий важливий витягувати вираз плід зображати. Картинка важливий серйозний.,9,None,Моршин
24,Редько Непорожній and Аврамчук,Роксолана,Ягода єдиний даль упустити. Демократія розгубитися звільнення адже.,18,None,Конотоп
25,Запорожець PLC,Мирослав,ПодвірʼЯ валюта зарплата падаль. Гіркий провал щастя дружно подвірʼя функція кордон.,15,None,Заліщики
26,Андрієнко-Ребрик,Орхип,Поріг конференція спосіб пристрій. Почуття болісно запустити насолода ламати плавно означати. Означати вітати дрімати призначити.,8,None,Рубіжне
27,Гаєвський Конопленко and Ґалаґан,Богдан,Лягати солома грати яскраво мить степ. Місце матерія іспит надати лівий.,19,None,Краматорськ
28,Петрик-Дергач,Амвросій,Ліхтарик покоління художній зображати зрідка засунути. Зрозумілий бетонний упустити збільшуватися зловити триста. Кут дрімати бетонний їжа сумний.,12,None,Гнівань
29,Давимука-Петлюра,Павло,Пристрасть кидати передо конструкція вітрина каюта прихований. Зміна вказаний диявол перебивати. Несподіваний єврейський порт.,16,None,Горлівка
30,Гресь-Атрощенко,Віра,Суглоб художній чоловічок відповідність блін вовк небезпека. Видимо заробити факультет камінчик білизна провал. Палець вовк передо щастя. Шкіра недолік вечір соціалістичний інший порода порода.,18,None,Київ
31,Ісаєвич Group,Онисим,Пастух порівняння гіркий програміст який.,13,None,Приморськ (Україна)
32,Негода LLC,Іван,Світило соціалістичний промовчати шолом інструкція розкішний ліворуч заспівати. Друкувати юний господь. Похорон соціалістичний порівняння тута більше танцювати склянка палата.,8,None,Борислав
33,Бевз LLC,Аркадій,Нервово штаб яблуко почуття дрібниця призначити зима здригнутися. Груди пані хліб в'язниця.,17,None,Хмільник
34,Бабак Group,Анжела,Інший плід виражений скинути відповідність діставати. Небезпека ковзати уникати безпорадний кишеня присвятити. Бригада дрімати метелик військовий коричневий розвинений програміст. Ґаздиня близько сміливий пити степ близько черговий.,20,None,Запоріжжя
35,Авраменко Гречко and Ющенко,Азар,Космос друкувати досліджено збудження летіти квапливий безглуздий. Вскакивать сходити сміття заборонити. Степ промовчати актриса п'ятеро услати подвірʼя білизна.,20,None,Копичинці
